Complete Payment,Pembayaran Selesai
{0} selected,{0} dipilih
Please add items to cart before proceeding to payment,Harap tambahkan barang ke keranjang belanja sebelum melanjutkan ke pembayaran.
Please select a customer before proceeding,Silakan pilih pelanggan sebelum melanjutkan.
Invoice saved offline. Will sync when online,Faktur disimpan secara offline. Akan disinkronkan saat online.
Unknown,Tidak dikenal
Invoice {0} created and sent to printer,Faktur {0} dibuat dan dikirim ke printer
Invoice {0} created but print failed,Faktur {0} dibuat tetapi pencetakan gagal
Invoice {0} created successfully,Faktur {0} berhasil dibuat
All items removed from cart,Semua barang telah dihapus dari keranjang belanja.
{0} added to cart,{0} ditambahkan ke keranjang
{0} ({1}) added to cart,{0} ({1}) ditambahkan ke keranjang
Failed to process selection. Please try again.,Pemilihan gagal diproses. Silakan coba lagi.
Return invoice {0} created successfully,Faktur pengembalian {0} berhasil dibuat
Creating return for invoice {0},Membuat pengembalian untuk faktur {0}
{0} created and selected,{0} dibuat dan dipilih
All cached data has been cleared successfully,Semua data cache telah berhasil dihapus.
Failed to clear cache. Please try again.,Cache gagal dihapus. Silakan coba lagi.
Your point of sale system is ready to use.,Sistem penjualan Anda siap digunakan.
Shift Status,Status Pergeseran
Shift is Open,Shift Tersedia
<strong>POS Profile:<strong> {0},<strong>Profil POS: {0}<strong>
<strong>Company:<strong>,<strong>Perusahaan:<strong>
<strong>Opened:<strong>,<strong>Dibuka:<strong>
Start Sale,Mulai Penjualan
No Active Shift,Tidak Ada Pergeseran Aktif
You need to open a shift before you can start making sales.,Anda perlu membuka shift terlebih dahulu sebelum dapat mulai melakukan penjualan.
System Test,Pengujian Sistem
Test Connection,Uji Koneksi
✓ Connection successful: {0},? Koneksi berhasil: {0}
✗ Connection failed: {0},? Koneksi gagal: {0}
Confirm Sign Out,Konfirmasi Keluar
Active Shift Detected,Pergeseran Aktif Terdeteksi
You have an active shift open. Would you like to:,Anda memiliki jadwal kerja aktif yang tersedia. Apakah Anda ingin:
Are you sure you want to sign out of POS Next?,Apakah Anda yakin ingin keluar dari POS Next?
Sign Out Only,Hanya Keluar
TAX INVOICE,FAKTUR PAJAK
Invoice #:,Faktur #:
Date:,Tanggal:
Customer:,Pelanggan:
Status:,Status:
PARTIAL PAYMENT,PEMBAYARAN SEBAGIAN
(FREE),(BEBAS)
Subtotal:,Subtotal:
Tax:,Pajak:
TOTAL:,TOTAL:
Total Paid:,Total yang Dibayarkan:
Change:,Kembalian:
BALANCE DUE:,TOTAL TAGIHAN:
Thank you for your business!,Terima kasih atas bisnis Anda!
Invoice - {0},Faktur - {0}
Offline invoice deleted successfully,Faktur offline berhasil dihapus.
Failed to delete offline invoice,Gagal menghapus faktur offline
Cannot sync while offline,Tidak dapat melakukan sinkronisasi saat offline.
{0} invoice(s) synced successfully,{0} faktur berhasil disinkronkan
Loading customers for offline use...,Sedang memuat data pelanggan untuk penggunaan offline...
Data is ready for offline use,Data siap untuk digunakan secara offline.
Some data may not be available offline,Beberapa data mungkin tidak tersedia secara offline.
POS is offline without cached data. Please connect to sync.,POS sedang offline tanpa data yang tersimpan. Silakan terhubung untuk melakukan sinkronisasi.
{0} applied successfully,{0} diterapkan dengan sukses
Discount has been removed from cart,Diskon telah dihapus dari keranjang belanja.
Add items to the cart before applying an offer.,Tambahkan item ke keranjang sebelum menerapkan penawaran.
Your cart doesn't meet the requirements for this offer.,Keranjang belanja Anda tidak memenuhi persyaratan untuk penawaran ini.
Failed to apply offer. Please try again.,Penawaran gagal diterapkan. Silakan coba lagi.
Offer has been removed from cart,Penawaran telah dihapus dari keranjang belanja
Failed to update cart after removing offer.,Gagal memperbarui keranjang belanja setelah menghapus penawaran.
Unit changed to {0},Unit diubah menjadi {0}
Failed to update UOM. Please try again.,Gagal memperbarui UOM. Silakan coba lagi.
{0} updated successfully,{0} berhasil diperbarui
Failed to update item. Please try again.,Gagal memperbarui item. Silakan coba lagi.
{0}h {1}m {2}s,{0}jam {1}menit {2}detik
Sync Complete,Sinkronisasi Selesai
Search by phone: {0},Cari berdasarkan telepon: {0}
Search by email: {0},Cari berdasarkan email: {0}
Create new customer: {0},Buat pelanggan baru: {0}
From {0},Dari {0}
Until {0},Sampai {0}
Validation Error,Kesalahan Validasi
Permission Denied,Izin Ditolak
Not Found,Tidak Ditemukan
Server Error,Kesalahan Server
Not enough stock available in the warehouse.\n\nPlease reduce the quantity or check stock availability.,Stok di gudang tidak mencukupi.\n\nMohon kurangi jumlahnya atau periksa ketersediaan stok.
Pricing Error,Kesalahan Harga
Customer Error,Kesalahan Pelanggan
Tax Configuration Error,Kesalahan Konfigurasi Pajak
Payment Error,Kesalahan Pembayaran
Naming Series Error,Kesalahan Penamaan Seri
Connection Error,Kesalahan Koneksi
Unable to connect to server. Check your internet connection.,Tidak dapat terhubung ke server. Periksa koneksi internet Anda.
Duplicate Entry,Entri Duplikat
Error Report - POS Next,Laporan Kesalahan - POS Next
Title: {0},Judul: {0}
Type: {0},Tipe: {0}
Message: {0},Pesan: {0}
Technical: {0},Teknis: {0}
Timestamp: {0},Cap waktu: {0}
User: {0},Pengguna: {0}
POS Profile: {0},Profil POS: {0}
Partial Payments,Pembayaran Sebagian
Manage invoices with pending payments,Kelola faktur dengan pembayaran yang tertunda.
{0} invoice - {1} outstanding,{0} faktur - {1} belum dibayar
{0} invoices - {1} outstanding,{0} faktur - {1} belum dibayar
Loading invoices...,Memuat faktur...
No Partial Payments,Tidak Menerima Pembayaran Sebagian
All invoices are either fully paid or unpaid,Semua faktur dalam kondisi lunas atau belum lunas.
Add Payment,Tambahkan Pembayaran
Payment History,Riwayat Pembayaran
Failed to load partial payments,Pembayaran sebagian gagal dimuat.
Payment added successfully,Pembayaran berhasil ditambahkan.
Failed to add payment,Gagal menambahkan pembayaran
Open POS Shift,Buka Shift POS
Select POS Profile,Pilih Profil POS
No POS Profiles available. Please contact your administrator.,Tidak ada Profil POS yang tersedia. Silakan hubungi administrator Anda.
Change Profile,Ubah Profil
Opening Balance (Optional),Saldo Awal (Opsional)
No payment methods configured for this POS Profile,Tidak ada metode pembayaran yang dikonfigurasi untuk Profil POS ini.
Existing Shift Found,Pergeseran yang Ada Ditemukan
You have an open shift. Would you like to resume it or close it and open a new one?,Anda memiliki jadwal kerja yang terbuka. Apakah Anda ingin melanjutkannya atau menutupnya dan membuka jadwal kerja baru?
<strong>POS Profile:</strong> {0},Profil POS:</strong> {0}
<strong>Opened:</strong> {0},<strong>Dibuka:</strong> {0}
Resume Shift,Lanjutkan Shift
Close & Open New,Tutup & Buka Baru
Back,Kembali
At least {0} items required,Setidaknya {0} item diperlukan
Maximum {0} items allowed for this offer,Jumlah maksimum {0} item diperbolehkan untuk penawaran ini
Minimum cart value of {0} required,Nilai keranjang minimum {0} diperlukan
Maximum cart value exceeded ({0}),Nilai keranjang belanja maksimum terlampaui ({0})
Cart does not contain eligible items for this offer,Keranjang belanja tidak berisi barang yang memenuhi syarat untuk penawaran ini.
Cart does not contain items from eligible groups,Keranjang belanja tidak berisi barang-barang dari kelompok yang memenuhi syarat.
Cannot save an empty cart as draft,Tidak dapat menyimpan keranjang kosong sebagai draf.
Invoice saved as draft successfully,Faktur berhasil disimpan sebagai draf.
Failed to save draft,Gagal menyimpan draf
Draft invoice loaded successfully,Draf faktur berhasil dimuat.
Failed to load draft,Gagal memuat draf.
Close POS Shift,Tutup Shift POS
Loading shift data...,Memuat data shift...
Calculating totals and reconciliation...,Menghitung total dan rekonsiliasi...
Duration,Lamanya
Total Sales,Total Penjualan
{0} invoices,0 faktur
Net Amount,Jumlah Bersih
Before tax,Sebelum pajak
Items Sold,Barang Terjual
Total items,Jumlah barang
Tax Collected,Pajak yang Dipungut
Total tax,Total pajak
No Sales During This Shift,Tidak ada penjualan selama shift ini.
No invoices were created. Closing amounts should match opening amounts.,Tidak ada faktur yang dibuat. Jumlah penutup harus sama dengan jumlah pembuka.
Invoice Details,Rincian Faktur
{0} transactions • {1},{0} transaksi � {1}
N/A,Tidak tersedia
Total:,Total:
Payment Reconciliation,Rekonsiliasi Pembayaran
✓ Shift Closed,? Shift Ditutup
Total Variance,Varians Total
Enter actual amount for {0},Masukkan jumlah sebenarnya untuk {0}
"Expected: <span class=""font-medium"">{0}</span>","Diharapkan: <span class=""font-medium"">{0}</span>"
✓ Balanced,? Seimbang
Over {0},Lebih dari {0}
Short {0},Pendek {0}
Opening,Pembukaan
Shift start,Mulai pergantian shift
Expected,Mengharapkan
No sales,Tidak ada penjualan
Actual Amount *,Jumlah Sebenarnya *
Final Amount,Jumlah Akhir
Count & enter,Hitung & masukkan
Cash Over,Uang Tunai Lebih dari
Cash Short,Kekurangan Uang Tunai
You have more than expected.,Anda mendapatkan lebih dari yang diharapkan.
You have less than expected.,Anda mendapatkan hasil yang lebih sedikit dari yang diharapkan.
Total Expected,Total yang Diharapkan
Total Actual,Total Aktual
Net Variance,Selisih Bersih
Tax Summary,Ringkasan Pajak
Total Tax Collected,Total Pajak yang Dikumpulkan
Error Closing Shift,Kesalahan Penutupan Shift
Dismiss,Membubarkan
Failed to Load Shift Data,Gagal Memuat Data Shift
Please enter all closing amounts,Harap masukkan semua jumlah penutupan.
✓ Shift closed successfully,? Shift berhasil ditutup
Closing Shift...,Shift Penutupan...
{0}h {1}m,{0}jam {1}menit
{0}m,0 m
-- Select --,-- Pilih --
Select Customer,Pilih Pelanggan
Search and select a customer for the transaction,Cari dan pilih pelanggan untuk transaksi tersebut.
"Search customers by name, mobile, or email...","Cari pelanggan berdasarkan nama, nomor ponsel, atau email..."
Search customers,Cari pelanggan
⭐ Recent & Frequent,� Terbaru & Sering
{0} of {1} customers,{0} dari {1} pelanggan
"• Use ↑↓ to navigate, Enter to select","� Gunakan ?'?� untuk bernavigasi, Enter untuk memilih"
Loading customers...,Sedang memuat pelanggan...
No customers available,Tidak ada pelanggan yang tersedia
Create your first customer to get started,Buat pelanggan pertama Anda untuk memulai.
"No results for ""{0}""","Tidak ada hasil untuk ""{0}"""
Try a different search term or create a new customer,Coba kata kunci pencarian lain atau buat pelanggan baru.
#NAME?,#NAME?
All Items,Semua Barang
Syncing catalog in background... {0} items cached,Sinkronisasi katalog di latar belakang... {0} item di-cache
Search items,Cari item
Barcode Scanner: ON (Click to disable),Pemindai Kode Batang: AKTIF (Klik untuk menonaktifkan)
Barcode Scanner: OFF (Click to enable),Pemindai Kode Batang: NONAKTIF (Klik untuk mengaktifkan)
Disable barcode scanner,Nonaktifkan pemindai kode batang
Enable barcode scanner,Aktifkan pemindai kode batang
Auto-Add: ON - Press Enter to add items to cart,Tambah Otomatis: AKTIF - Tekan Enter untuk menambahkan item ke keranjang
Auto-Add: OFF - Click to enable automatic cart addition on Enter,Tambah Otomatis: NONAKTIF - Klik untuk mengaktifkan penambahan otomatis ke keranjang belanja saat Anda memasukkan harga.
Disable auto-add,Nonaktifkan penambahan otomatis
Enable auto-add,Aktifkan penambahan otomatis
Auto,Mobil
Grid View,Tampilan Kisi
Switch to grid view,Beralih ke tampilan kisi
List View,Tampilan Daftar
Switch to list view,Beralih ke tampilan daftar
Sorted by {0} A-Z,Diurutkan berdasarkan {0} AZ
Sorted by {0} Z-A,Diurutkan berdasarkan {0} ZA
Sort items,Urutkan barang
Sort Items,Urutkan Barang
No Sorting,Tidak Ada Penyortiran
Loading items...,Memuat item...
No results for {0} in {1},Tidak ada hasil untuk {0} di {1}
No results in {0},Tidak ada hasil di {0}
No results for {0},Tidak ada hasil untuk {0}
No items available,Tidak ada barang yang tersedia
{0}: {1} {2},{0}: {1} {2}
Nos,Tidak
Check availability in other warehouses,Periksa ketersediaan di gudang lain
Check Availability in All Wherehouses,Periksa Ketersediaan di Semua Gudang
Selected,Terpilih
Check warehouse availability,Periksa ketersediaan gudang
Loading more items...,Memuat lebih banyak item...
All items loaded,Semua barang sudah dimuat.
{0} items found,{0} item ditemukan
{0} - {1} of {2},{0} - {1} dari {2}
Go to first page,Kembali ke halaman pertama
Go to previous page,Kembali ke halaman sebelumnya
Go to page {0},Buka halaman {0}
Go to next page,Lanjut ke halaman berikutnya
Go to last page,Kembali ke halaman sebelumnya
Code,Kode
Rate,Kecepatan
Qty,Jumlah
UOM,UOM
{0}: {1} Bundles,{0}: {1} Bundel
Auto-Add ON - Type or scan barcode,Tambah Otomatis AKTIF - Ketik atau pindai kode batang
Scanner ON - Enable Auto for automatic addition,Pemindai AKTIF - Aktifkan Otomatis untuk penambahan otomatis
"Search by item code, name or scan barcode","Cari berdasarkan kode barang, nama, atau pindai kode batang."
Item Not Found: No item found with barcode: {0},Barang Tidak Ditemukan: Tidak ada barang yang ditemukan dengan kode batang: {0}
Multiple Items Found: {0} items match barcode. Please refine search.,Beberapa Item Ditemukan: {0} item cocok dengan barcode. Harap perbaiki pencarian.
Multiple Items Found: {0} items match. Please select one.,Beberapa Item Ditemukan: {0} item cocok. Silakan pilih salah satu.
Loading invoice details...,Memuat detail faktur...
Return Against:,Pengembalian Terhadap:
Grand Total,Jumlah Total
Taxes:,Pajak:
Net Total:,Jumlah Bersih:
Discount:,Diskon:
Grand Total:,Jumlah Total:
Paid Amount:,Jumlah yang Dibayarkan:
Outstanding:,Luar biasa:
Remarks,Perkataan
Failed to load invoice details,Gagal memuat detail faktur
Warehouse Availability,Ketersediaan Gudang
Close dialog,Tutup dialog
Checking warehouse availability...,Memeriksa ketersediaan gudang...
Actual Stock:,Stok Aktual:
This item is out of stock in all warehouses,Barang ini habis stok di semua gudang.
Total Available:,Jumlah yang Tersedia:
across 1 warehouse,di seluruh 1 gudang
across {0} warehouses,di seluruh {0} gudang
Have a coupon code?,Punya kode kupon?
Enter your promotional or gift card code below,Masukkan kode promosi atau kartu hadiah Anda di bawah ini.
ENTER-CODE-HERE,MASUKKAN KODE DI SINI
Code is case-insensitive,Kode tidak peka terhadap huruf besar/kecil.
My Gift Cards ({0}),Kartu Hadiah Saya ({0})
Coupon Applied Successfully!,Kupon berhasil diterapkan!
Discount Amount,Jumlah Diskon
Please enter a coupon code,Silakan masukkan kode kupon
The coupon code you entered is not valid,Kode kupon yang Anda masukkan tidak valid.
This coupon requires a minimum purchase of,Kupon ini memerlukan pembelian minimum sebesar...
Failed to apply coupon. Please try again.,Kupon gagal diterapkan. Silakan coba lagi.
Discount has been removed,Diskon telah dihapus.
Search countries...,Cari negara...
No countries found,Tidak ada negara yang ditemukan
Create New Customer,Buat Pelanggan Baru
Customer Name,Nama Pelanggan
Enter customer name,Masukkan nama pelanggan
Mobile Number,Nomor Ponsel
Search country or code...,Cari negara atau kode pos...
Enter phone number,Masukkan nomor telepon
Enter email address,Masukkan alamat email
Customer Group,Kelompok Pelanggan
Select Customer Group,Pilih Grup Pelanggan
Territory,Wilayah
Select Territory,Pilih Wilayah
Permission Required,Izin Diperlukan
You don't have permission to create customers. Contact your administrator.,Anda tidak memiliki izin untuk membuat pelanggan. Hubungi administrator Anda.
Individual,Individu
All Territories,Semua Wilayah
Customer {0} created successfully,Pelanggan {0} berhasil dibuat
Failed to create customer,Gagal membuat pelanggan
Customer Name is required,Nama Pelanggan wajib diisi.
Promotion & Coupon Management,Manajemen Promosi & Kupon
Manage promotional schemes and coupons,Kelola skema promosi dan kupon.
Promotional Schemes,Skema Promosi
Coupons,Kupon
Search promotions...,Cari promosi...
Active Only,Hanya Aktif
Expired Only,Hanya yang sudah kadaluarsa
Not Started,Belum dimulai
Disabled Only,Khusus Penyandang Disabilitas
Create New Promotion,Buat Promosi Baru
Create permission required,Buat izin yang diperlukan
No promotions found,Tidak ada promosi yang ditemukan
Rule,Aturan
Scheme,Skema
{0} items,{0} item
No expiry,Tidak ada tanggal kedaluwarsa
Select a Promotion,Pilih Promosi
"Choose a promotion from the list to view and edit, or create a new one to get started","Pilih promosi dari daftar untuk melihat dan mengedit, atau buat yang baru untuk memulai."
You don't have permission to create promotions,Anda tidak memiliki izin untuk membuat promosi.
Create New Promotion,Buat Promosi Baru
Edit Promotion,Edit Promosi
Pricing Rule,Aturan Penetapan Harga
Promotional Scheme,Skema Promosi
Fill in the details to create a new promotional scheme,Isi detail untuk membuat skema promosi baru.
View pricing rule details (read-only),Lihat detail aturan penetapan harga (hanya baca)
Update the promotion details below,Perbarui detail promosi di bawah ini.
Read-only: Edit in ERPNext,Hanya baca: Edit di ERPNext
Enable,Memungkinkan
Basic Information,Informasi Dasar
Promotion Name,Nama Promosi
"e.g., Summer Sale 2025","misalnya, Diskon Musim Panas 2025"
Valid From,Berlaku Mulai
